d,test_acc,p_minor_inner,p_minor_outer,ceiling_inner,ceiling_outer,on_sphere_median,on_sphere_p25,on_sphere_p75,on_sphere_found_frac,general_l2_median,general_l2_p25,general_l2_p75,general_l2_found_frac,radial_median,radial_found_frac
2,1.0,0.0004991640883918633,0.0004991640883918633,0.0007840850964288862,0.001019310625357552,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,0.0
4,1.0,0.0004991640883918633,0.0004991640883918633,0.027514214062629792,0.03576847828141873,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,0.0
8,1.0,0.0004991640883918633,0.0004991640883918633,0.044650561305344574,0.05804572969694795,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,0.0
16,1.0,0.0004991640883918633,0.0007903974572224964,0.040338031357959075,0.055144506482290315,0.014083792232971949,0.014083792232971949,0.014083792232971949,1.0,0.004092407226562515,0.004092407226562515,0.004092407226562515,1.0,nan,0.0
32,1.0,0.0004991640883918633,0.001048923369197836,0.031233625823158997,0.04343578266112662,0.023523804847553606,0.012104651252122869,0.03494295844298434,1.0,0.011590576171875004,0.005939483642578122,0.017241668701171883,1.0,nan,0.0
64,0.99625,0.0021902296682402927,0.011277069780114553,0.02609496007310433,0.04064986398425516,0.015018547131044144,0.007945528717103861,0.03287185226138786,1.0,0.00906372070312499,0.004923248291015618,0.021162414550781255,1.0,nan,0.0
128,0.97,0.025376455546543726,0.05000114680345576,0.024859603554292908,0.03618595462872292,0.01807206550342281,0.0085698956508759,0.028837867177324446,1.0,0.014893341064453128,0.006972885131835941,0.021574401855468755,1.0,nan,0.0
256,0.93,0.03246812577321591,0.10625593623777585,0.01828828443444122,0.029972530334645444,0.01012903233969839,0.006465482672558318,0.020462692361720276,1.0,0.009214782714843757,0.005894851684570321,0.018151473999023435,1.0,nan,0.0
384,0.9133333333333333,0.03827946055086318,0.1310469346021781,0.01534483877688548,0.02579584999845822,0.013391126363312545,0.006172155490176018,0.022769965253244033,1.0,0.012531280517578128,0.0056682586669921904,0.020479202270507812,1.0,nan,0.0
512,0.8941666666666667,0.03370341502836517,0.18479498416321122,0.013015863227664034,0.02466163467764602,0.012303988812423781,0.006527905452669541,0.0214826341346991,1.0,0.01182403564453125,0.006162643432617191,0.02033500671386719,1.0,nan,0.0
768,0.8616666666666667,0.05626701534408988,0.2157914471116508,0.011620876380965763,0.0211841290363493,0.011823026757612747,0.005128044548763115,0.02298320703171377,1.0,0.011453247070312502,0.0049678802490234295,0.02208938598632813,1.0,nan,0.0
1024,0.8554166666666667,0.08668507201180688,0.22407789581744672,0.010992085927563684,0.018585252927422385,0.007120589273999094,0.003458646286811968,0.013867483378794522,1.0,0.006948852539062495,0.003385162353515621,0.013554382324218755,1.0,nan,0.0
