w,s,n,max_influence,variance,kkl_ratio
2,2,4,0.375,0.984375,0.7619047619047619
2,3,6,0.28125,0.9755859375,0.6691508017029909
3,3,9,0.19140625,0.8845062255859375,0.6143965140442257
2,6,12,0.11865234375,0.5852086544036865,0.6786755600754547
3,6,18,0.12822723388671875,0.9895123224123381,0.559375354682887
4,6,24,0.09052455425262451,0.8719302699855547,0.5434506265158549
3,12,36,0.05754778228583746,0.6433933369468352,0.622831100792523
4,11,44,0.06555755938109087,0.9997232232315436,0.5285039555335896
5,11,55,0.045498509792008035,0.8315276751494917,0.5205388665099576
4,22,88,0.03223345194003942,0.7332295878077455,0.5989012270944285
5,22,110,0.032086773096048495,0.99997180353868,0.5204921598558293
6,22,132,0.022450297816114753,0.8282985287344711,0.5078851350590124
5,44,220,0.01595819561961817,0.744676017272252,0.6058757994161321
6,44,264,0.015876499969015776,0.999999951820607,0.5210331731102896
7,44,308,0.011151963318680935,0.8266948582895806,0.5025972275038496
6,88,528,0.007939992414883976,0.7502194739477215,0.6178544769462754
7,89,623,0.007835561815060068,0.9999761499676845,0.5258671740653817
8,88,704,0.005557874628515024,0.825895736174089,0.5008309266841102
7,178,1246,0.0038986478388093404,0.7451045418294628,0.634002940131133
8,177,1416,0.00392308657103237,0.9999998501724696,0.5306936137695233
9,178,1602,0.0027636068839506775,0.8300885897593924,0.5010047065338409
8,354,2832,0.001962302551086351,0.7503870006414891,0.6458046524522706
9,355,3195,0.0019552058903090108,0.9999992082736632,0.5366004371861296
10,355,3550,0.0013820371669941134,0.8287496789523237,0.5019704903994359
9,710,6390,0.0009767330837790076,0.7491098147890496,0.6590664699164561
10,710,7100,0.0009769786728825182,0.9999996965999262,0.5421889763445047
11,710,7810,0.0006907395251334264,0.8286505238614067,0.5034521879309518
10,1420,14200,0.00048822026789721714,0.7494490308258743,0.6706320653937006
11,1420,15620,0.000488333437233718,0.9999998544928592,0.5475350588368806
12,1420,17040,0.0003453000428704287,0.8286009566274424,0.5051720808162609
11,2840,31240,0.00024407358024962928,0.7496184733193494,0.6812390167845189
12,2839,34068,0.0002441873809537432,0.9999999972253449,0.5525308242818383
13,2839,36907,0.00017265367300643922,0.8284331943936033,0.5069854484409897
12,5678,68136,0.00012208725919240682,0.7499473236183971,0.6908366234965401
13,5678,73814,0.00012208395048210743,0.9999999998926372,0.5572423819352404
14,5678,79492,8.632248027139147e-05,0.8284208022041089,0.5088401430848588
13,11356,147628,6.104134274845847e-05,0.7499896383452616,0.6997237493450797
14,11357,158998,6.103581501368115e-05,0.999999997475678,0.5616511156609357
15,11356,170340,4.3160151165326296e-05,0.8284146062705956,0.510682077913171
14,22714,317996,3.0516374206879043e-05,0.7499497561071042,0.7079104530672903
15,22713,340695,3.051823028866422e-05,0.9999999999163117,0.5657492584840633
16,22713,363408,2.1579474069350837e-05,0.8284293857136862,0.5124883677763828
15,45426,681390,1.5258975551942643e-05,0.749990851826817,0.7154075149027863
16,45426,726816,1.5258963001114885e-05,0.9999999999851026,0.5695817922395364
16,90852,1453632,7.629452052880334e-06,0.7499961402706152,0.722345286036822
