topology,n,mean_degree,mean_sq_degree,heterogeneity_ratio,lambda_max,qmf_threshold,hmf_threshold,tau_c_empirical,tau_c_sem,eps_qmf,eps_hmf,gap_hmf_minus_qmf,realization
rr,300,6.0,36.0,1.0,5.999999997331889,0.16666666674078087,0.16666666666666666,0.19080007851798866,0.030268436074668306,0.12648533462177003,0.12648533501020914,3.8843911420727295e-10,0
rr,300,6.0,36.0,1.0,5.999999997133456,0.1666666667462929,0.16666666666666666,0.2045935252274293,0.010242886438422234,0.18537663124469023,0.18537663163388265,3.8919242828505674e-10,1
rr,300,6.0,36.0,1.0,5.999999996587414,0.16666666676146072,0.16666666666666666,0.18376659913475715,0.028001984385668106,0.09305245052043952,0.09305245103627897,5.158394544846345e-10,2
rr,600,6.0,36.0,1.0,5.99999999685541,0.1666666667540164,0.16666666666666666,0.18555058933931548,0.02394837281285332,0.10177236651491386,0.10177236698567356,4.707596951147863e-10,0
rr,600,6.0,36.0,1.0,5.999999997042192,0.16666666674882802,0.16666666666666666,0.20902428902713863,0.003825196109155657,0.20264449875875964,0.2026444991518305,3.9307085364370664e-10,1
rr,600,6.0,36.0,1.0,5.999999996890898,0.16666666675303063,0.16666666666666666,0.18155304806197553,0.021233626647281994,0.08199466474318426,0.08199466521887977,4.75695510759877e-10,2
rr,1000,6.0,36.0,1.0,5.999999997417255,0.16666666673840957,0.16666666666666666,0.1846280576231737,0.013617681802196115,0.09728418917466683,0.09728418956324762,3.8858079254300293e-10,0
rr,1000,6.0,36.0,1.0,5.999999997487889,0.16666666673644753,0.16666666666666666,0.17378373965549723,0.019387658660530313,0.04095361817600619,0.040953618577544766,4.0153857322478004e-10,1
rr,1000,6.0,36.0,1.0,5.9999999968543865,0.16666666675404482,0.16666666666666666,0.13721757663084932,0.023302916677546956,0.21461601965483723,0.21461601901805175,-6.367854854527621e-10,2
er,300,6.1466666666666665,43.46,1.150298088188932,7.159993976389089,0.13966492196747876,0.1414327350820678,0.17726694241243152,0.003026000743448338,0.2121208835286808,0.20214827898927368,-0.009972604539407126,0
er,300,6.3,46.086666666666666,1.1611657008482406,7.481093891614822,0.13367029133544883,0.1366989729495154,0.1525470858739284,0.0242634507872484,0.12374405207635483,0.10388997491247105,-0.01985407716388378,1
er,300,5.926174496644295,41.0,1.1674411207545574,7.050263681530289,0.14183866663309616,0.14454084138156817,0.18325323817310268,0.005183111800043702,0.2259963968597703,0.21125081978069293,-0.014745577079077365,2
er,600,5.976666666666667,41.45,1.160396646934273,7.048301206415648,0.14187815910729804,0.14418978689183753,0.1707133696702436,0.006428389670593877,0.16891008957672582,0.15536910102378043,-0.013540988552945388,0
er,600,6.1438127090301,44.10033444816054,1.1683311261378861,7.374704180637924,0.13559865935036033,0.139314424389504,0.1480838203626576,0.009126082007903063,0.08431144592110794,0.05921913651118217,-0.025092309409925767,1
er,600,5.782608695652174,38.324414715719065,1.1461142735380963,6.8207739243115455,0.14661092877388324,0.1508857666463042,0.17874253532608705,0.0034512962733644036,0.179764746503035,0.15584857084500142,-0.023916175658033584,2
er,1000,6.008032128514056,41.31726907630522,1.1446352483628357,7.040218655462628,0.14204104289063277,0.14541213063763608,0.15998375033973153,0.015513283636212221,0.11215331188946842,0.09108187344747239,-0.021071438441996035,0
er,1000,5.881644934804413,40.61584754262788,1.1740806041999745,7.102625004135739,0.14079301658439194,0.1448115770237566,0.14847935867488804,0.017203727110810814,0.05176707495973357,0.02470229992818361,-0.027064775031549956,1
er,1000,5.947947947947948,41.171171171171174,1.1637478799040337,7.0792060498475315,0.14125877859163846,0.14446875759786043,0.14841868211487116,0.022159178228657973,0.04824125521941485,0.026613391661526965,-0.021627863557887886,2
ba,300,5.94,72.82,2.063848360144656,11.66437381634104,0.08573113445653328,0.08157099697885198,0.0983999445398488,0.016758183622705942,0.12874814251734717,0.17102598624109627,0.0422778437237491,0
ba,300,5.94,64.66,1.832579442007051,10.797651235520547,0.09261273384255504,0.09186514073615838,0.1256444629732164,0.004740366264300652,0.26289840673442755,0.2688484747971644,0.005950068062736846,1
ba,300,5.94,71.01333333333334,2.0126442124197452,11.373206592854686,0.0879259505079472,0.08364626361246714,0.11462877385098975,0.0023652478896121066,0.23295044032970774,0.2702856289712907,0.03733518864158297,2
ba,600,5.97,78.35666666666667,2.198504153000252,12.554162427104941,0.0796548559735821,0.07619007104266813,0.09050181015268532,0.012003969414373313,0.11985345001169989,0.15813760062778748,0.03828415061608759,0
ba,600,5.97,71.02,1.992654506479915,11.969101417177413,0.08354846075285598,0.08406082793579274,0.08136512279933655,0.015132886612619845,0.02683383098805114,0.03313096623849951,0.006297135250448369,1
ba,600,5.97,82.92,2.326540575574691,13.271817387962784,0.07534763105669127,0.07199710564399421,0.08403482331658255,0.014145419058660905,0.10337609953869008,0.14324677791299573,0.03987067837430565,2
ba,1000,5.982,83.064,2.3212398814631787,13.676260865789075,0.0731194008225949,0.07201675816238082,0.07389919637387884,0.01580744380008669,0.010552151979281648,0.025473053887814852,0.014920901908533204,0
ba,1000,5.982,87.078,2.4334119040505,14.068519113716064,0.07108068673873803,0.0686970302487425,0.08863416469509279,0.006983384561910009,0.19804415167379133,0.22493735361454928,0.02689320194075795,1
ba,1000,5.982,85.336,2.384731370082609,13.846157854725988,0.07222220131331804,0.0700993718946283,0.09285527886705697,0.009544102302085066,0.22220683417772918,0.24506853299109493,0.02286169881336575,2
