family,requested_n,n,mean_gap,std_gap,mean_spectral_gap
classical_two_choice,128,128,1.7,0.46609159969939895,
classical_two_choice,256,256,1.9,0.3051285766293647,
classical_two_choice,512,512,2.0,0.0,
classical_two_choice,1024,1024,2.0,0.0,
classical_two_choice,2048,2048,2.0,0.0,
complete,128,128,1.5333333333333334,0.5074162634049248,1.007874015748031
complete,256,256,1.9,0.3051285766293647,1.003921568627451
complete,512,512,1.9666666666666666,0.18257418583505536,1.0019569471624266
complete,1024,1024,2.0,0.0,1.0009775171065491
complete,2048,2048,2.0,0.0,1.0004885197850513
cycle,128,128,2.0,0.3713906763541037,0.001204543794827595
cycle,256,256,2.1333333333333333,0.4341724854553046,0.00030118130379575003
cycle,512,512,2.1666666666666665,0.461133037377414,7.529816085549701e-05
cycle,1024,1024,2.5,0.572351471472339,1.882471739889091e-05
cycle,2048,2048,2.7333333333333334,0.5208304597621879,4.70619042380882e-06
erdos_renyi,128,128,1.8666666666666667,0.3457459036417604,0.4266625433718626
erdos_renyi,256,256,2.0,0.0,0.44733939930482813
erdos_renyi,512,512,2.033333333333333,0.18257418583505539,0.4695722892542726
erdos_renyi,1024,1024,2.033333333333333,0.18257418583505533,0.4889256760213542
erdos_renyi,2048,2048,2.033333333333333,0.1825741858350554,0.5089080417017298
one_choice,128,128,3.466666666666667,0.7302967433402213,
one_choice,256,256,4.033333333333333,0.889917986664224,
one_choice,512,512,4.166666666666667,0.6477192523656042,
one_choice,1024,1024,4.533333333333333,0.68144538746106,
one_choice,2048,2048,4.833333333333333,0.7466399831028444,
path,128,128,1.9666666666666666,0.4138409933973337,0.0003059427469167911
path,256,256,2.066666666666667,0.2537081317024624,7.588988516935007e-05
path,512,512,2.3,0.4660915996993991,1.8898467213007663e-05
path,1024,1024,2.433333333333333,0.5040069329937309,4.7153956767571456e-06
path,2048,2048,2.7,0.46609159969939906,1.1776981128103565e-06
regular10,128,128,1.7333333333333334,0.44977644510880366,0.4369431484814403
regular10,256,256,1.9666666666666666,0.18257418583505539,0.42232432025367755
regular10,512,512,2.033333333333333,0.1825741858350554,0.41206089701988685
regular10,1024,1024,2.0,0.0,0.4055922843655578
regular10,2048,2048,2.066666666666667,0.2537081317024626,0.40357690049279804
regular3,128,128,1.9,0.4025778999364488,0.07256454472750469
regular3,256,256,2.066666666666667,0.2537081317024624,0.0644690979529635
regular3,512,512,2.1666666666666665,0.3790490217894517,0.06053618704826062
regular3,1024,1024,2.2333333333333334,0.4301830671520763,0.0592918070668155
regular3,2048,2048,2.433333333333333,0.5040069329937309,0.05852437088250728
smallworld_high_rewiring,128,128,1.9333333333333333,0.36514837167011077,0.16241200662765642
smallworld_high_rewiring,256,256,2.033333333333333,0.18257418583505533,0.14889467731097145
smallworld_high_rewiring,512,512,2.1,0.30512857662936466,0.1456518056492566
smallworld_high_rewiring,1024,1024,2.1666666666666665,0.37904902178945177,0.14218365030769003
smallworld_high_rewiring,2048,2048,2.4,0.4982728791224398,0.1399659413934599
smallworld_low_rewiring,128,128,2.0,0.4548588261473421,0.0038145135040208067
smallworld_low_rewiring,256,256,2.066666666666667,0.2537081317024624,0.0017000113143112307
smallworld_low_rewiring,512,512,2.1,0.30512857662936466,0.0009420855103825615
smallworld_low_rewiring,1024,1024,2.1,0.30512857662936477,0.0007153197556261196
smallworld_low_rewiring,2048,2048,2.3,0.46609159969939906,0.0004984652316002432
torus,128,121,1.7333333333333334,0.4497764451088037,0.07937323358440937
torus,256,256,1.9333333333333333,0.25370813170246237,0.038060233744356534
torus,512,529,2.1,0.30512857662936466,0.018541356326100284
torus,1024,1024,2.1666666666666665,0.37904902178945177,0.009607359798384693
torus,2048,2025,2.2333333333333334,0.4301830671520764,0.004865965629214754
