n,family,param,ranking_mean,ranking_lo,ranking_hi,greedy
16,complete_bipartite,,1.0,1.0,1.0,1.0
16,random_bipartite,0.1,1.0,1.0,1.0,1.0
16,random_bipartite,0.3,0.8790625,0.871875,0.88625,0.8125
16,random_bipartite,0.6,0.9759375,0.97125,0.9803203125,1.0
64,complete_bipartite,,1.0,1.0,1.0,1.0
64,random_bipartite,0.1,0.89140625,0.888203125,0.8946875,0.890625
64,random_bipartite,0.3,0.9728125,0.970859375,0.974609375,0.96875
64,random_bipartite,0.6,0.9896875,0.988515625,0.990859375,0.984375
256,complete_bipartite,,1.0,1.0,1.0,1.0
256,random_bipartite,0.1,0.973125,0.97234326171875,0.97388671875,0.96875
256,random_bipartite,0.3,0.9926171875,0.9921484375,0.99308642578125,0.99609375
256,random_bipartite,0.6,0.9973046875,0.9969921875,0.9976171875,0.99609375
