alpha,trial,decisions_monolithic,decisions_sum_parts,overhead_ratio
3.7,0,20,20,1.0
3.7,1,1157,29,39.89655172413793
3.7,2,982,27,36.370370370370374
3.7,3,80,31,2.5806451612903225
3.7,4,863,30,28.766666666666666
3.7,5,51,27,1.8888888888888888
3.7,6,412,37,11.135135135135135
3.7,7,1194,26,45.92307692307692
3.7,8,341,26,13.115384615384615
3.7,9,1340,28,47.857142857142854
3.7,10,62,26,2.3846153846153846
3.7,11,657,31,21.193548387096776
3.7,12,783,23,34.04347826086956
3.7,13,499,37,13.486486486486486
3.7,14,83,28,2.9642857142857144
3.7,15,50,25,2.0
3.7,16,46,17,2.7058823529411766
3.7,17,38,24,1.5833333333333333
3.7,18,282,32,8.8125
3.7,19,17,20,0.85
3.7,20,456,37,12.324324324324325
3.7,21,560,26,21.53846153846154
3.7,22,1917,30,63.9
3.7,23,1607,35,45.91428571428571
3.7,24,673,37,18.18918918918919
3.7,25,508,28,18.142857142857142
3.7,26,988,27,36.592592592592595
3.7,27,695,34,20.441176470588236
3.7,28,631,26,24.26923076923077
3.7,29,396,32,12.375
3.9000000000000004,0,43,28,1.5357142857142858
3.9000000000000004,1,304,26,11.692307692307692
3.9000000000000004,2,2254,44,51.22727272727273
3.9000000000000004,3,318,34,9.352941176470589
3.9000000000000004,4,1442,37,38.972972972972975
3.9000000000000004,5,624,24,26.0
3.9000000000000004,6,613,23,26.652173913043477
3.9000000000000004,7,1518,31,48.96774193548387
3.9000000000000004,8,533,23,23.17391304347826
3.9000000000000004,9,1575,24,65.625
3.9000000000000004,10,69,30,2.3
3.9000000000000004,11,86,30,2.8666666666666667
3.9000000000000004,12,759,30,25.3
3.9000000000000004,13,22,22,1.0
3.9000000000000004,14,97,24,4.041666666666667
3.9000000000000004,15,29,29,1.0
3.9000000000000004,16,330,38,8.68421052631579
3.9000000000000004,17,28,26,1.0769230769230769
3.9000000000000004,18,43,29,1.4827586206896552
3.9000000000000004,19,21,21,1.0
3.9000000000000004,20,688,28,24.571428571428573
3.9000000000000004,21,642,29,22.137931034482758
3.9000000000000004,22,759,38,19.973684210526315
3.9000000000000004,23,368,31,11.870967741935484
3.9000000000000004,24,33,20,1.65
3.9000000000000004,25,483,37,13.054054054054054
3.9000000000000004,26,130,27,4.814814814814815
3.9000000000000004,27,664,32,20.75
3.9000000000000004,28,1877,41,45.78048780487805
3.9000000000000004,29,150,26,5.769230769230769
4.1,0,66,30,2.2
4.1,1,1019,28,36.392857142857146
4.1,2,21,21,1.0
4.1,3,643,36,17.86111111111111
4.1,4,75,21,3.5714285714285716
4.1,5,531,21,25.285714285714285
4.1,6,661,28,23.607142857142858
4.1,7,435,37,11.756756756756756
4.1,8,338,32,10.5625
4.1,9,348,34,10.235294117647058
4.1,10,582,38,15.31578947368421
4.1,11,79,30,2.6333333333333333
4.1,12,566,26,21.76923076923077
4.1,13,59,29,2.0344827586206895
4.1,14,16,36,0.4444444444444444
4.1,15,19,19,1.0
4.1,16,80,32,2.5
4.1,17,247,24,10.291666666666666
4.1,18,487,26,18.73076923076923
4.1,19,87,27,3.2222222222222223
4.1,20,62,31,2.0
4.1,21,183,26,7.038461538461538
4.1,22,567,39,14.538461538461538
4.1,23,454,22,20.636363636363637
4.1,24,135,28,4.821428571428571
4.1,25,329,40,8.225
4.1,26,198,34,5.823529411764706
4.1,27,462,30,15.4
4.1,28,825,33,25.0
4.1,29,90,26,3.4615384615384617
