dim,theta,empirical_prob,theory_prob,stderr,abs_error,z_score
8,0.15,0.95135,0.9522535170724314,0.0015212359695326687,0.0009035170724314145,0.5939361746152897
8,0.4083266048717994,0.8678,0.8700256048774438,0.0023950277660185902,0.002225604877443832,0.929260574353841
8,0.6666532097435988,0.7876,0.7877976926824564,0.002892112031025078,0.00019769268245639626,0.06835581759477216
8,0.9249798146153981,0.7046,0.7055697804874688,0.003225979231179271,0.0009697804874687632,0.3006158496297125
8,1.1833064194871974,0.62365,0.6233418682924814,0.0034257165491324583,0.00030813170751864405,0.08994664418358737
8,1.4416330243589968,0.53875,0.5411139560974938,0.003524900264546502,0.0023639560974938467,0.6706448183145922
8,1.6999596292307961,0.4561,0.4588860439025063,0.003521880108691947,0.0027860439025063077,0.7910672187932785
8,1.9582862341025955,0.3777,0.3766581317075187,0.003428138780738026,0.0010418682924812628,0.30391660289113626
8,2.216612838974395,0.2961,0.29443021951253123,0.0032281944644026637,0.0016697804874687416,0.517249039945217
8,2.474939443846194,0.21365,0.21220230731754375,0.002898307070515476,0.0014476926824562586,0.4994959634138354
8,2.7332660487179936,0.12755,0.12997439512255615,0.0023588238329726955,0.0024243951225561555,1.0277982987397682
8,2.991592653589793,0.0473,0.047746482927568556,0.001501044802795706,0.00044648292756855473,0.297448101973357
64,0.15,0.95245,0.9522535170724314,0.0015048089164408879,0.00019648292756857533,0.1305700181743265
64,0.4083266048717994,0.8716,0.8700256048774438,0.0023655172795817828,0.0015743951225561936,0.6655606095739628
64,0.6666532097435988,0.793,0.7877976926824564,0.0028648821965309495,0.005202307317543675,1.8158887384071445
64,0.9249798146153981,0.7059,0.7055697804874688,0.0032218410109749363,0.00033021951253120463,0.10249404343862377
64,1.1833064194871974,0.6291,0.6233418682924814,0.0034156492062271267,0.005758131707518599,1.6858088638086293
64,1.4416330243589968,0.5412,0.5411139560974938,0.0035235107492386057,8.604390250621652e-05,0.024419934726979255
64,1.6999596292307961,0.45955,0.4588860439025063,0.003523945214528739,0.0006639560974937009,0.18841271843736437
64,1.9582862341025955,0.37675,0.3766581317075187,0.0034264371984613993,9.186829248125639e-05,0.02681160843178703
64,2.216612838974395,0.2967,0.29443021951253123,0.0032300859895674607,0.0022697804874687866,0.7026997097909248
64,2.474939443846194,0.2092,0.21220230731754375,0.0028760681494011922,0.003002307317543751,1.0438929683112141
64,2.7332660487179936,0.13365,0.12997439512255615,0.002406113853291236,0.003675604877443839,1.527610537803983
64,2.991592653589793,0.04705,0.047746482927568556,0.001497269139132975,0.000696482927568555,0.4651688259412519
512,0.15,0.9491,0.9522535170724314,0.0015541748614618619,0.003153517072431389,2.0290619483223273
512,0.4083266048717994,0.86615,0.8700256048774438,0.00240763553616406,0.0038756048774438723,1.6097141029985953
512,0.6666532097435988,0.78745,0.7877976926824564,0.002892857562169282,0.00034769268245637974,0.12019004565010578
512,0.9249798146153981,0.7079,0.7055697804874688,0.003215412803980229,0.0023302195125312064,0.7247030644546548
512,1.1833064194871974,0.62635,0.6233418682924814,0.0034207870256711395,0.0030081317075185687,0.8793683105508124
512,1.4416330243589968,0.5414,0.5411139560974938,0.003523393534648096,0.0002860439025061945,0.0811842048562888
512,1.6999596292307961,0.45835,0.4588860439025063,0.003523246212656731,0.0005360439025063335,0.15214488859185502
512,1.9582862341025955,0.3752,0.3766581317075187,0.0034236308212189,0.0014581317075187394,0.4259021441452053
512,2.216612838974395,0.29085,0.29443021951253123,0.0032113570145656492,0.0035802195125312353,1.1148618781071518
512,2.474939443846194,0.21345,0.21220230731754375,0.0028973185663644235,0.0012476926824562529,0.43063703692820593
512,2.7332660487179936,0.12735,0.12997439512255615,0.002357243915041462,0.0026243951225561613,1.1133320170263332
512,2.991592653589793,0.04485,0.047746482927568556,0.0014635313030475297,0.0028964829275685555,1.9791055521239433
