eps,entropic_cost,exact_cost,gap
1.0,0.2809493147751567,0.025028057832024418,0.2559212569431323
0.6474788028695253,0.2540010595094086,0.025028057832024418,0.22897300167738419
0.4192288001653537,0.2174874248783648,0.025028057832024418,0.1924593670463404
0.2714417616594907,0.17409185482918627,0.025028057832024418,0.14906379699716185
0.17575278688808205,0.1314476508503734,0.025028057832024418,0.106419593018349
0.11379620405527817,0.09674597719460742,0.025028057832024418,0.07171791936258301
0.07368062997280773,0.07136076964088267,0.025028057832024418,0.04633271180885826
0.04770664608946602,0.05349380106543841,0.025028057832024418,0.028465743233413995
0.030889042098927583,0.04149163976397963,0.025028057832024418,0.016463581931955216
0.02,0.03401703036274248,0.025028057832024418,0.008988972530718061
